run_id,dataset,method,chunk_size,max_queries,n_docs,n_queries,time_seconds,MRR,Recall@1,Recall@5,Recall@10,Recall@100,NDCG@1,NDCG@5,NDCG@10,NDCG@100,batch_size,config_elapsed_seconds,device
20260406_235803,fiqa,dense,original,200,57638,200,38.44,0.4477285211067862,0.16158531746031746,0.3426825396825397,0.4311289682539683,0.7000515873015871,0.345,0.3329447470523346,0.35955412514361074,0.4308545048014238,128,39.152,cuda
20260406_235803,fiqa,sparse,original,200,57638,200,62.603,0.2614708667169311,0.08751190476190475,0.193015873015873,0.24231944444444445,0.42125793650793647,0.195,0.18030538796700232,0.19604474785377676,0.24118008343477937,,62.719,cpu
20260406_235803,fiqa,hybrid,original,200,57638,200,99.765,0.3783924094222259,0.13532936507936508,0.28587896825396825,0.36943253968253975,0.6757738095238094,0.295,0.2737227217010901,0.300801304746744,0.3848493257561072,128,100.558,cuda
20260406_235803,fiqa,dense,chunk_128,200,90805,200,48.402,0.42393553337986667,0.10459536501080617,0.22194808785985273,0.2851638116785177,0.5187793848308553,0.335,0.26897319198927794,0.2779354007540682,0.3452460648236623,128,49.129,cuda
20260406_235803,fiqa,sparse,chunk_128,200,90805,200,83.109,0.24346694848681127,0.054849673202614364,0.10773558304440656,0.13856417316343786,0.2782527488851019,0.185,0.13242346534375757,0.13746734800899615,0.18020151575915866,,83.238,cpu
20260406_235803,fiqa,hybrid,chunk_128,200,90805,200,135.234,0.35595401822054784,0.07931930079724196,0.17152888002520356,0.2384412891030538,0.48188582332699964,0.27,0.21451591061711978,0.2260536342119193,0.29849084228031186,128,136.08,cuda
20260406_235803,fiqa,dense,chunk_256,200,66360,200,42.086,0.4332079359480385,0.14172240259740257,0.29031186868686887,0.3706786269286269,0.6426222111222111,0.335,0.30267906443942677,0.32402053431945066,0.399277839324407,128,42.872,cuda
20260406_235803,fiqa,sparse,chunk_256,200,66360,200,70.736,0.26568030089756056,0.08430952380952378,0.15546031746031744,0.19778968253968254,0.3483534659784659,0.21,0.16391735045073486,0.17661351189695126,0.21787608247911727,,70.872,cpu
20260406_235803,fiqa,hybrid,chunk_256,200,66360,200,109.915,0.36032340290404086,0.09400992063492061,0.24175414862914862,0.3131470612720613,0.6064836274836274,0.26,0.24147232880078426,0.260757917538331,0.34417733106967746,128,110.824,cuda
20260406_235803,fiqa,dense,chunk_512,200,59080,200,38.535,0.44621534952416325,0.16013113275613275,0.33310304972804977,0.4217251498501499,0.6905433039183039,0.345,0.3271199914098311,0.35344260072160566,0.4253377756671647,128,39.241,cuda
20260406_235803,fiqa,sparse,chunk_512,200,59080,200,81.332,0.2608586157804958,0.08461080586080584,0.1918925518925519,0.24113461538461536,0.40961500999001,0.195,0.17859671260814788,0.19407821622057658,0.23685994598889137,,81.458,cpu
20260406_235803,fiqa,hybrid,chunk_512,200,59080,200,107.734,0.378570432467982,0.13238858363858363,0.277741452991453,0.36275137362637366,0.6667716033966034,0.295,0.2690852668104696,0.29677800215149147,0.37970181353198607,128,108.523,cuda
20260406_235803,scifact,dense,original,200,5183,200,4.629,0.6059331004624532,0.47641666666666665,0.7306666666666666,0.7725,0.9275,0.495,0.6216157383269308,0.6369357731460206,0.6720803365614372,128,6.147,cuda
20260406_235803,scifact,sparse,original,200,5183,200,4.798,0.6520931306426831,0.5320833333333334,0.7509999999999999,0.7976666666666666,0.9095833333333333,0.55,0.6610494792339812,0.6771120788224387,0.7043642546903424,,4.827,cpu
20260406_235803,scifact,hybrid,original,200,5183,200,11.501,0.6760352038412449,0.5439166666666666,0.7771666666666667,0.8275833333333332,0.9704999999999999,0.565,0.686477814306668,0.7029450112368726,0.7349898080794659,128,12.208,cuda
20260406_235803,scifact,dense,chunk_128,200,11848,200,7.96,0.6038279272665091,0.23061111111111113,0.5821529581529581,0.6710584415584415,0.8722727272727272,0.51,0.5488057997198027,0.5845163747071307,0.6445087532229283,128,8.69,cuda
20260406_235803,scifact,sparse,chunk_128,200,11848,200,12.835,0.6273401888928065,0.2301230158730159,0.5505436507936509,0.6195656565656565,0.8097662337662338,0.525,0.5323770271407914,0.5582677596383963,0.6134279011729042,,12.9,cpu
20260406_235803,scifact,hybrid,chunk_128,200,11848,200,19.573,0.697974446426289,0.2714108946608948,0.632812049062049,0.6930804473304474,0.891715367965368,0.62,0.6105860667413527,0.6337479800031989,0.6908957186625393,128,20.284,cuda
20260406_235803,scifact,dense,chunk_256,200,6889,200,5.326,0.6272885276695408,0.42146428571428574,0.6924404761904762,0.7497619047619049,0.9092857142857143,0.535,0.6174696685571114,0.6399610704913494,0.680911438629648,128,6.087,cuda
20260406_235803,scifact,sparse,chunk_256,200,6889,200,5.293,0.6423029741406363,0.4261666666666667,0.6963928571428571,0.7657261904761904,0.8907142857142857,0.535,0.6243476089742398,0.6502942657442481,0.6820388312544061,,5.321,cpu
20260406_235803,scifact,hybrid,chunk_256,200,6889,200,14.8,0.6823781239678633,0.4753333333333332,0.7475595238095238,0.7814880952380951,0.9516071428571429,0.585,0.6761620383498649,0.6901825929831663,0.7319766990121512,128,15.518,cuda
