dataset,method,chunk_size,max_queries,MRR_A,Recall@1_A,Recall@5_A,Recall@10_A,Recall@100_A,NDCG@1_A,NDCG@5_A,NDCG@10_A,NDCG@100_A,MRR_B,Recall@1_B,Recall@5_B,Recall@10_B,Recall@100_B,NDCG@1_B,NDCG@5_B,NDCG@10_B,NDCG@100_B,delta_MRR,delta_Recall@1,delta_Recall@5,delta_Recall@10,delta_Recall@100,delta_NDCG@1,delta_NDCG@5,delta_NDCG@10,delta_NDCG@100,time_seconds_A,time_seconds_B
nfcorpus,hybrid,chunk_256,200,0.5786948252687114,0.06054339371644837,0.12466105264077817,0.14878224324403108,0.26642899184464125,0.48666666666666664,0.4176490649209013,0.37712124644974543,0.3133042818738916,0.580119992528517,0.06054339371644837,0.12394676692649247,0.14893849324403108,0.2659914415070397,0.48666666666666664,0.4173326291077987,0.37786812863593483,0.3131986967516655,-0.001425167259805571,0.0,0.000714285714285709,-0.00015624999999999667,0.0004375503376015666,0.0,0.00031643581310258906,-0.0007468821861894015,0.00010558512222608174,27.661,6.885
nfcorpus,hybrid,chunk_512,200,0.6005443939255681,0.07162150868447686,0.14256267985721066,0.1660467717718823,0.29350469926750444,0.515,0.41514953022596407,0.372348617432478,0.3232295853685441,0.6001129684492476,0.07162150868447686,0.14330829389229838,0.16561042006584553,0.29325673509044,0.5183333333333333,0.4151528707583168,0.3718570190981449,0.32299731041587193,0.00043142547632057937,0.0,-0.0007456140350877161,0.0004363517060367583,0.0002479641770644636,-0.0033333333333332993,-3.340532352735792e-06,0.0004915983343330987,0.00023227495267219567,24.032,5.458
nfcorpus,hybrid,original,200,0.590536578986345,0.06550643746114228,0.14370874825472685,0.17055995408111851,0.2900312463025306,0.5033333333333333,0.41396222797075155,0.37316309826868777,0.3200667345636606,0.5907949950807274,0.06550643746114228,0.14397065301663162,0.17055995408111851,0.2950894577109497,0.5033333333333333,0.4133805189448417,0.37307732740449334,0.32090741676729906,-0.00025841609438237434,0.0,-0.00026190476190476875,0.0,-0.005058211408419111,0.0,0.0005817090259098712,8.577086419442326e-05,-0.0008406822036384765,24.232,5.337
nfcorpus,sparse,chunk_128,200,0.5451840748329961,0.0324129450091847,0.09669132683810336,0.11544177140157981,0.1793038058030416,0.45833333333333326,0.4108638887427309,0.36631566048546654,0.26272081538822833,0.5452338422808324,0.0324129450091847,0.09669132683810336,0.11542596200310605,0.17929187262479399,0.45833333333333326,0.4108638887427309,0.36572914599792833,0.2627338864986559,-4.9767447836246426e-05,0.0,0.0,1.5809398473759506e-05,1.1933178247602871e-05,0.0,0.0,0.0005865144875382144,-1.307111042758713e-05,1.015,1.805
nfcorpus,sparse,chunk_256,200,0.552607499441853,0.05974222797447677,0.12160228213861222,0.14463034160204832,0.20910667266455132,0.465,0.39856827921372173,0.35618902253434004,0.27226515709005655,0.552607499441853,0.05974222797447677,0.12160228213861222,0.14463034160204832,0.20829830635415025,0.465,0.39856827921372173,0.356208686035153,0.2720056602792297,0.0,0.0,0.0,0.0,0.0008083663104010708,0.0,0.0,-1.9663500812949763e-05,0.0002594968108268758,0.573,1.199
nfcorpus,sparse,chunk_512,200,0.5692633286681957,0.06963373506507337,0.13793373766253667,0.16688077775090449,0.23038616273261636,0.485,0.39132716631284786,0.35387260181386415,0.280440690262,0.5692633286681957,0.06963373506507337,0.13793373766253667,0.16688077775090449,0.23076941097057316,0.485,0.39132716631284786,0.35387260181386415,0.28050217154061774,0.0,0.0,0.0,0.0,-0.00038324823795679586,0.0,0.0,0.0,-6.148127861771435e-05,0.47,0.994
nfcorpus,sparse,original,200,0.5594110421732253,0.06939783324024539,0.13392536873034827,0.16679806557257662,0.2271651584519546,0.4666666666666666,0.38460211099054875,0.34941101782602074,0.27773344731532873,0.559412408293444,0.06939783324024539,0.13392536873034827,0.16679806557257662,0.22714701135999188,0.4666666666666666,0.38460211099054875,0.34942418500229794,0.2777856775385046,-1.3661202186154853e-06,0.0,0.0,0.0,1.814709196271136e-05,0.0,0.0,-1.3167176277195658e-05,-5.223022317585313e-05,0.439,0.955
scifact,dense,chunk_128,200,0.6038279272665091,0.23061111111111113,0.5821529581529581,0.6710584415584415,0.8722727272727272,0.51,0.5488057997198027,0.5845163747071307,0.6445087532229283,0.6038279272665091,0.23061111111111113,0.5821529581529581,0.6710584415584415,0.8722727272727272,0.51,0.5488057997198027,0.5845163747071307,0.6445087532229283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.566,7.96
scifact,dense,chunk_256,200,0.6272885276695408,0.42146428571428574,0.6924404761904762,0.7497619047619049,0.9092857142857143,0.535,0.6174696685571114,0.6399610704913494,0.680911438629648,0.6272885276695408,0.42146428571428574,0.6924404761904762,0.7497619047619049,0.9092857142857143,0.535,0.6174696685571114,0.6399610704913494,0.680911438629648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.505,5.326
scifact,dense,chunk_512,200,0.6107268794533226,0.48208333333333336,0.7236666666666666,0.7868333333333334,0.9325,0.5,0.625673332419291,0.6478186029296483,0.679984355658002,0.6107268794533226,0.48208333333333336,0.7236666666666666,0.7868333333333334,0.9325,0.5,0.625673332419291,0.6478186029296483,0.679984355658002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.492,4.771
scifact,dense,original,200,0.6059331004624532,0.47641666666666665,0.7306666666666666,0.7725,0.9275,0.495,0.6216157383269308,0.6369357731460206,0.6720803365614372,0.6059331004624532,0.47641666666666665,0.7306666666666666,0.7725,0.9275,0.495,0.6216157383269308,0.6369357731460206,0.6720803365614372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.54,4.629
scifact,hybrid,chunk_128,200,0.697974446426289,0.2714108946608948,0.632812049062049,0.6930804473304474,0.891715367965368,0.62,0.6104832389715368,0.6336451522333829,0.69079575566473,0.697974446426289,0.2714108946608948,0.632812049062049,0.6930804473304474,0.891715367965368,0.62,0.6105860667413527,0.6337479800031989,0.6908957186625393,0.0,0.0,0.0,0.0,0.0,0.0,-0.00010282776981596076,-0.00010282776981596076,-9.996299780934415e-05,60.405,19.573
scifact,hybrid,chunk_256,200,0.6823781239678633,0.4753333333333332,0.7475595238095238,0.7814880952380951,0.9516071428571429,0.585,0.6761620383498649,0.6901825929831663,0.7319766990121512,0.6823781239678633,0.4753333333333332,0.7475595238095238,0.7814880952380951,0.9516071428571429,0.585,0.6761620383498649,0.6901825929831663,0.7319766990121512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.484,14.8
scifact,hybrid,chunk_512,200,0.6770866431884879,0.5455833333333333,0.7761666666666668,0.8210833333333334,0.9715,0.57,0.6873127606972373,0.7029011746470338,0.7365925760753292,0.6770866431884879,0.5455833333333333,0.7761666666666668,0.8210833333333334,0.9715,0.57,0.6873127606972373,0.7029011746470338,0.7365925760753292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.78,11.071
scifact,hybrid,original,200,0.6760352038412449,0.5439166666666666,0.7771666666666667,0.8275833333333332,0.9704999999999999,0.565,0.686477814306668,0.7029450112368726,0.7349898080794659,0.6760352038412449,0.5439166666666666,0.7771666666666667,0.8275833333333332,0.9704999999999999,0.565,0.686477814306668,0.7029450112368726,0.7349898080794659,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.239,11.501
scifact,sparse,chunk_128,200,0.6273401888928065,0.2301230158730159,0.5505436507936509,0.6195656565656565,0.8097662337662338,0.525,0.5323770271407914,0.5582677596383963,0.6134279011729042,0.6273401888928065,0.2301230158730159,0.5505436507936509,0.6195656565656565,0.8097662337662338,0.525,0.5323770271407914,0.5582677596383963,0.6134279011729042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.415,12.835
